Service_Category,Service_Type,Package_Name,Base_Price,Hourly_Rate,Min_Hours,Max_Hours,Description,Add_On_Options,Add_On_Price,Guest_Count_Multiplier,Seasonal_Multiplier,Weekend_Multiplier
DJ,Standard,Basic DJ Package,800,100,4,8,Basic sound system and music,Microphone rental,50,0,1,1.2
DJ,Standard,Standard DJ Package,1200,125,5,10,Professional sound system with lighting,Uplighting package,200,0.5,1.1,1.2
DJ,Standard,Premium DJ Package,1800,150,6,12,Premium sound with full lighting and MC services,Photo booth add-on,400,0.75,1.15,1.25
DJ,Specialty,Karaoke Setup,300,75,2,6,Karaoke system with song library,Extended song library,100,0,1,1.1
DJ,Equipment,Additional Microphones,25,0,0,0,Wireless microphone rental,Lapel microphone,35,0,1,1
DJ,Equipment,Extended Sound Coverage,150,0,0,0,Additional speakers for large venues,Outdoor weatherproofing,75,0,1,1
Photography,Standard,Basic Photography,1500,200,4,8,Single photographer for ceremony and reception,Engagement session,400,1,1.1,1.15
Photography,Standard,Standard Photography,2500,250,6,10,Professional photographer with assistant,Second photographer,600,1.25,1.1,1.15
Photography,Standard,Deluxe Photography,4000,300,8,12,Premium package with multiple photographers,Drone photography,800,1.5,1.15,1.2
Photography,Standard,Premium Photography,6000,350,10,14,Luxury package with full coverage,Photo booth,1000,1.75,1.2,1.25
Photography,Add-On,Engagement Session,500,200,2,4,Pre-wedding photo session,Location change,200,0,1,1
Photography,Add-On,Bridal Session,400,200,2,3,Bridal portrait session,Outfit changes,150,0,1,1
Photography,Add-On,Rehearsal Coverage,300,150,1,3,Rehearsal dinner photography,Extended coverage,200,0,1,1
Videography,Standard,Basic Videography,2000,250,4,8,Single camera ceremony and reception,Raw footage delivery,300,0.5,1.1,1.15
Videography,Standard,Cinematic Package,3500,300,6,10,Multi-camera with professional editing,Drone footage,600,0.75,1.15,1.2
Videography,Standard,Premium Cinematic,5500,400,8,12,Full cinematic production with same-day edit,Live streaming,800,1,1.2,1.25
Videography,Add-On,Highlight Reel,800,0,0,0,3-5 minute edited highlight video,Extended reel,400,0,1,1
Videography,Add-On,Documentary Style,600,0,0,0,Documentary-style editing approach,Interview segments,500,0,1,1
Videography,Add-On,Live Streaming,1200,0,0,0,Live stream ceremony to remote guests,Multi-platform streaming,300,0,1,1
Travel,Distance,Local Service,0,0,0,0,Within 25 miles of base location,,,0,1,1
Travel,Distance,Regional Service,200,0,0,0,25-50 miles from base location,,,0,1,1
Travel,Distance,Extended Travel,500,50,0,0,50+ miles or overnight required,Hotel accommodation,150,0,1,1
Equipment,Rental,Backup Equipment,150,0,0,0,Backup camera/audio equipment,Priority backup,100,0,1,1
Equipment,Rental,Weather Protection,100,0,0,0,Weather protection for outdoor events,Extended protection,75,0,1,1